symbol,description,exchange,listedMarket,securityType
SBMU25C.OI.Z,SPANISH BASELOAD MONTHLY Sep 2025 Future Option Call Total Open Interest,EEXP,EEXP,COMBINED_FOPTION
SBMU25C.VOL.Z,SPANISH BASELOAD MONTHLY Sep 2025 Future Option Call Total Volume,EEXP,EEXP,COMBINED_FOPTION
SBMU25P.OI.Z,SPANISH BASELOAD MONTHLY Sep 2025 Future Option Put Total Open Interest,EEXP,EEXP,COMBINED_FOPTION
SBMU25P.VOL.Z,SPANISH BASELOAD MONTHLY Sep 2025 Future Option Put Total Volume,EEXP,EEXP,COMBINED_FOPTION
SBQN25C.OI.Z,SPANISH BASELOAD QUARTERLY Jul 2025 Future Option Call Total Open Interest,EEXP,EEXP,COMBINED_FOPTION
SBQN25C.VOL.Z,SPANISH BASELOAD QUARTERLY Jul 2025 Future Option Call Total Volume,EEXP,EEXP,COMBINED_FOPTION
SBQN25P.OI.Z,SPANISH BASELOAD QUARTERLY Jul 2025 Future Option Put Total Open Interest,EEXP,EEXP,COMBINED_FOPTION
SBQN25P.VOL.Z,SPANISH BASELOAD QUARTERLY Jul 2025 Future Option Put Total Volume,EEXP,EEXP,COMBINED_FOPTION
SBQV25C.OI.Z,SPANISH BASELOAD QUARTERLY Oct 2025 Future Option Call Total Open Interest,EEXP,EEXP,COMBINED_FOPTION
SBQV25C.VOL.Z,SPANISH BASELOAD QUARTERLY Oct 2025 Future Option Call Total Volume,EEXP,EEXP,COMBINED_FOPTION
SBQV25P.OI.Z,SPANISH BASELOAD QUARTERLY Oct 2025 Future Option Put Total Open Interest,EEXP,EEXP,COMBINED_FOPTION
SBQV25P.VOL.Z,SPANISH BASELOAD QUARTERLY Oct 2025 Future Option Put Total Volume,EEXP,EEXP,COMBINED_FOPTION
SBYF26C.OI.Z,SPANISH BASELOAD YEARLY Jan 2026 Future Option Call Total Open Interest,EEXP,EEXP,COMBINED_FOPTION
SBYF26C.VOL.Z,SPANISH BASELOAD YEARLY Jan 2026 Future Option Call Total Volume,EEXP,EEXP,COMBINED_FOPTION
SBYF26P.OI.Z,SPANISH BASELOAD YEARLY Jan 2026 Future Option Put Total Open Interest,EEXP,EEXP,COMBINED_FOPTION
SBYF26P.VOL.Z,SPANISH BASELOAD YEARLY Jan 2026 Future Option Put Total Volume,EEXP,EEXP,COMBINED_FOPTION
SBYF27C.OI.Z,SPANISH BASELOAD YEARLY Jan 2027 Future Option Call Total Open Interest,EEXP,EEXP,COMBINED_FOPTION
SBYF27C.VOL.Z,SPANISH BASELOAD YEARLY Jan 2027 Future Option Call Total Volume,EEXP,EEXP,COMBINED_FOPTION
SBYF27P.OI.Z,SPANISH BASELOAD YEARLY Jan 2027 Future Option Put Total Open Interest,EEXP,EEXP,COMBINED_FOPTION
SBYF27P.VOL.Z,SPANISH BASELOAD YEARLY Jan 2027 Future Option Put Total Volume,EEXP,EEXP,COMBINED_FOPTION
